,iso2,year,cases,sex,age
381,BA,2000,4.0,Male,0-14
382,BA,2001,6.0,Male,0-14
383,BA,2002,1.0,Male,0-14
384,BA,2003,4.0,Male,0-14
385,BA,2004,3.0,Male,0-14
386,BA,2005,1.0,Male,0-14
387,BA,2006,0.0,Male,0-14
388,BA,2007,0.0,Male,0-14
389,BA,2008,0.0,Male,0-14
404,BB,1996,0.0,Male,0-14
408,BB,2000,0.0,Male,0-14
409,BB,2001,0.0,Male,0-14
415,BB,2007,0.0,Male,0-14
416,BB,2008,0.0,Male,0-14
432,BD,1995,29.0,Male,0-14
433,BD,1996,45.0,Male,0-14
434,BD,1997,201.0,Male,0-14
435,BD,1998,254.0,Male,0-14
436,BD,1999,259.0,Male,0-14
437,BD,2000,256.0,Male,0-14
438,BD,2001,283.0,Male,0-14
439,BD,2002,449.0,Male,0-14
440,BD,2003,320.0,Male,0-14
441,BD,2004,420.0,Male,0-14
442,BD,2005,524.0,Male,0-14
443,BD,2006,607.0,Male,0-14
444,BD,2007,523.0,Male,0-14
445,BD,2008,422.0,Male,0-14
461,BE,1995,3.0,Male,0-14
462,BE,1996,1.0,Male,0-14
463,BE,1997,3.0,Male,0-14
464,BE,1998,3.0,Male,0-14
465,BE,1999,2.0,Male,0-14
466,BE,2000,3.0,Male,0-14
467,BE,2001,8.0,Male,0-14
468,BE,2002,1.0,Male,0-14
469,BE,2003,6.0,Male,0-14
470,BE,2004,1.0,Male,0-14
471,BE,2005,1.0,Male,0-14
472,BE,2006,4.0,Male,0-14
473,BE,2007,2.0,Male,0-14
474,BE,2008,3.0,Male,0-14
489,BF,1995,4.0,Male,0-14
490,BF,1996,3.0,Male,0-14
491,BF,1997,3.0,Male,0-14
492,BF,1998,4.0,Male,0-14
493,BF,1999,13.0,Male,0-14
494,BF,2000,12.0,Male,0-14
495,BF,2001,7.0,Male,0-14
496,BF,2002,6.0,Male,0-14
497,BF,2003,14.0,Male,0-14
498,BF,2004,10.0,Male,0-14
499,BF,2005,18.0,Male,0-14
500,BF,2006,13.0,Male,0-14
501,BF,2007,8.0,Male,0-14
502,BF,2008,8.0,Male,0-14
523,BG,2000,0.0,Male,0-14
524,BG,2001,1.0,Male,0-14
525,BG,2002,2.0,Male,0-14
526,BG,2003,3.0,Male,0-14
527,BG,2004,10.0,Male,0-14
528,BG,2005,9.0,Male,0-14
529,BG,2006,6.0,Male,0-14
530,BG,2007,7.0,Male,0-14
531,BG,2008,2.0,Male,0-14
546,BH,1995,0.0,Male,0-14
547,BH,1996,0.0,Male,0-14
548,BH,1997,1.0,Male,0-14
549,BH,1998,0.0,Male,0-14
550,BH,1999,0.0,Male,0-14
551,BH,2000,0.0,Male,0-14
552,BH,2001,0.0,Male,0-14
553,BH,2002,0.0,Male,0-14
554,BH,2003,0.0,Male,0-14
555,BH,2004,0.0,Male,0-14
556,BH,2005,0.0,Male,0-14
557,BH,2006,0.0,Male,0-14
558,BH,2007,0.0,Male,0-14
559,BH,2008,0.0,Male,0-14
575,BI,1995,5.0,Male,0-14
576,BI,1996,16.0,Male,0-14
577,BI,1997,21.0,Male,0-14
578,BI,1998,45.0,Male,0-14
579,BI,1999,64.0,Male,0-14
581,BI,2001,34.0,Male,0-14
582,BI,2002,16.0,Male,0-14
583,BI,2003,32.0,Male,0-14
584,BI,2004,24.0,Male,0-14
585,BI,2005,34.0,Male,0-14
586,BI,2006,30.0,Male,0-14
587,BI,2007,26.0,Male,0-14
588,BI,2008,30.0,Male,0-14
604,BJ,1995,14.0,Male,0-14
605,BJ,1996,17.0,Male,0-14
606,BJ,1997,20.0,Male,0-14
607,BJ,1998,20.0,Male,0-14
608,BJ,1999,14.0,Male,0-14
609,BJ,2000,19.0,Male,0-14
611,BJ,2002,16.0,Male,0-14
612,BJ,2003,20.0,Male,0-14
613,BJ,2004,16.0,Male,0-14
614,BJ,2005,21.0,Male,0-14
615,BJ,2006,18.0,Male,0-14
617,BJ,2008,20.0,Male,0-14
640,BM,2004,0.0,Male,0-14
660,BN,1999,0.0,Male,0-14
661,BN,2000,0.0,Male,0-14
663,BN,2002,2.0,Male,0-14
664,BN,2003,0.0,Male,0-14
665,BN,2004,0.0,Male,0-14
666,BN,2005,0.0,Male,0-14
667,BN,2006,2.0,Male,0-14
668,BN,2007,0.0,Male,0-14
669,BN,2008,0.0,Male,0-14
686,BO,1996,178.0,Male,0-14
687,BO,1997,150.0,Male,0-14
688,BO,1998,167.0,Male,0-14
689,BO,1999,222.0,Male,0-14
690,BO,2000,166.0,Male,0-14
691,BO,2001,165.0,Male,0-14
692,BO,2002,231.0,Male,0-14
693,BO,2003,156.0,Male,0-14
694,BO,2004,161.0,Male,0-14
695,BO,2005,157.0,Male,0-14
696,BO,2006,127.0,Male,0-14
697,BO,2007,116.0,Male,0-14
698,BO,2008,128.0,Male,0-14
717,BR,1999,301.0,Male,0-14
718,BR,2000,1894.0,Male,0-14
719,BR,2001,468.0,Male,0-14
720,BR,2002,344.0,Male,0-14
721,BR,2003,382.0,Male,0-14
722,BR,2004,337.0,Male,0-14
723,BR,2005,317.0,Male,0-14
724,BR,2006,343.0,Male,0-14
725,BR,2007,371.0,Male,0-14
726,BR,2008,298.0,Male,0-14
742,BS,1995,3.0,Male,0-14
743,BS,1996,0.0,Male,0-14
744,BS,1997,0.0,Male,0-14
745,BS,1998,0.0,Male,0-14
746,BS,1999,1.0,Male,0-14
747,BS,2000,1.0,Male,0-14
749,BS,2002,2.0,Male,0-14
750,BS,2003,0.0,Male,0-14
751,BS,2004,3.0,Male,0-14
753,BS,2007,0.0,Male,0-14
754,BS,2008,0.0,Male,0-14
770,BT,1995,2.0,Male,0-14
771,BT,1996,4.0,Male,0-14
772,BT,1997,4.0,Male,0-14
773,BT,1998,3.0,Male,0-14
774,BT,1999,10.0,Male,0-14
775,BT,2000,6.0,Male,0-14
776,BT,2001,3.0,Male,0-14
777,BT,2002,5.0,Male,0-14
778,BT,2003,9.0,Male,0-14
779,BT,2004,1.0,Male,0-14
780,BT,2005,1.0,Male,0-14
781,BT,2006,0.0,Male,0-14
782,BT,2007,2.0,Male,0-14
783,BT,2008,3.0,Male,0-14
801,BW,1997,29.0,Male,0-14
803,BW,1999,18.0,Male,0-14
804,BW,2000,25.0,Male,0-14
805,BW,2001,15.0,Male,0-14
806,BW,2002,17.0,Male,0-14
807,BW,2003,22.0,Male,0-14
808,BW,2004,29.0,Male,0-14
809,BW,2005,27.0,Male,0-14
810,BW,2006,36.0,Male,0-14
811,BW,2007,25.0,Male,0-14
812,BW,2008,27.0,Male,0-14
834,BY,2001,2.0,Male,0-14
835,BY,2002,0.0,Male,0-14
836,BY,2003,0.0,Male,0-14
857,BZ,1995,1.0,Male,0-14
858,BZ,1996,1.0,Male,0-14
859,BZ,1997,2.0,Male,0-14
862,BZ,2000,2.0,Male,0-14
863,BZ,2001,0.0,Male,0-14
864,BZ,2002,4.0,Male,0-14
865,BZ,2003,1.0,Male,0-14
866,BZ,2004,0.0,Male,0-14
867,BZ,2005,0.0,Male,0-14
868,BZ,2006,3.0,Male,0-14
869,BZ,2007,1.0,Male,0-14
870,BZ,2008,1.0,Male,0-14
871,CA,1980,12.0,Male,0-14
872,CA,1981,8.0,Male,0-14
873,CA,1982,6.0,Male,0-14
874,CA,1983,9.0,Male,0-14
875,CA,1984,3.0,Male,0-14
876,CA,1985,11.0,Male,0-14
877,CA,1986,9.0,Male,0-14
878,CA,1987,9.0,Male,0-14
879,CA,1988,4.0,Male,0-14
880,CA,1989,10.0,Male,0-14
881,CA,1990,3.0,Male,0-14
882,CA,1991,7.0,Male,0-14
883,CA,1992,6.0,Male,0-14
884,CA,1993,8.0,Male,0-14
885,CA,1994,2.0,Male,0-14
886,CA,1995,1.0,Male,0-14
887,CA,1996,3.0,Male,0-14
888,CA,1997,0.0,Male,0-14
889,CA,1998,4.0,Male,0-14
890,CA,1999,0.0,Male,0-14
891,CA,2000,5.0,Male,0-14
892,CA,2001,6.0,Male,0-14
893,CA,2002,0.0,Male,0-14
894,CA,2003,1.0,Male,0-14
895,CA,2004,2.0,Male,0-14
896,CA,2005,3.0,Male,0-14
897,CA,2006,2.0,Male,0-14
898,CA,2007,5.0,Male,0-14
899,CA,2008,2.0,Male,0-14
915,CD,1995,373.0,Male,0-14
916,CD,1996,228.0,Male,0-14
917,CD,1997,259.0,Male,0-14
918,CD,1998,455.0,Male,0-14
919,CD,1999,474.0,Male,0-14
920,CD,2000,485.0,Male,0-14
921,CD,2001,581.0,Male,0-14
922,CD,2002,649.0,Male,0-14
923,CD,2003,854.0,Male,0-14
924,CD,2004,1195.0,Male,0-14
925,CD,2005,1321.0,Male,0-14
926,CD,2006,1122.0,Male,0-14
927,CD,2007,1343.0,Male,0-14
928,CD,2008,1515.0,Male,0-14
941,CF,1995,38.0,Male,0-14
942,CF,1996,46.0,Male,0-14
943,CF,1997,54.0,Male,0-14
944,CF,1998,28.0,Male,0-14
945,CF,1999,28.0,Male,0-14
947,CF,2001,15.0,Male,0-14
948,CF,2002,76.0,Male,0-14
950,CF,2004,12.0,Male,0-14
951,CF,2005,29.0,Male,0-14
952,CF,2006,48.0,Male,0-14
954,CF,2008,68.0,Male,0-14
970,CG,1995,16.0,Male,0-14
974,CG,1999,17.0,Male,0-14
976,CG,2001,31.0,Male,0-14
979,CG,2004,9.0,Male,0-14
981,CG,2006,32.0,Male,0-14
982,CG,2007,28.0,Male,0-14
983,CG,2008,31.0,Male,0-14
999,CH,1995,0.0,Male,0-14
1000,CH,1996,1.0,Male,0-14
1001,CH,1997,0.0,Male,0-14
1002,CH,1998,0.0,Male,0-14
1003,CH,1999,1.0,Male,0-14
1004,CH,2000,0.0,Male,0-14
1005,CH,2001,0.0,Male,0-14
1006,CH,2002,0.0,Male,0-14
1007,CH,2003,0.0,Male,0-14
1008,CH,2004,0.0,Male,0-14
1009,CH,2005,1.0,Male,0-14
1010,CH,2006,1.0,Male,0-14
1011,CH,2007,0.0,Male,0-14
1012,CH,2008,0.0,Male,0-14
1028,CI,1995,41.0,Male,0-14
1029,CI,1996,118.0,Male,0-14
1030,CI,1997,87.0,Male,0-14
1031,CI,1998,72.0,Male,0-14
1032,CI,1999,98.0,Male,0-14
1034,CI,2001,108.0,Male,0-14
1035,CI,2002,102.0,Male,0-14
1036,CI,2003,116.0,Male,0-14
1037,CI,2004,114.0,Male,0-14
1038,CI,2005,128.0,Male,0-14
1039,CI,2006,171.0,Male,0-14
1040,CI,2007,173.0,Male,0-14
1041,CI,2008,261.0,Male,0-14
1042,CK,1980,0.0,Male,0-14
1043,CK,1981,0.0,Male,0-14
1044,CK,1982,0.0,Male,0-14
1045,CK,1983,0.0,Male,0-14
1046,CK,1984,0.0,Male,0-14
1047,CK,1985,1.0,Male,0-14
1048,CK,1986,0.0,Male,0-14
1049,CK,1987,0.0,Male,0-14
1051,CK,1989,0.0,Male,0-14
1053,CK,1991,0.0,Male,0-14
1054,CK,1992,0.0,Male,0-14
1055,CK,1993,0.0,Male,0-14
1056,CK,1994,0.0,Male,0-14
1057,CK,1995,0.0,Male,0-14
1058,CK,1996,0.0,Male,0-14
1059,CK,1997,0.0,Male,0-14
1060,CK,1998,0.0,Male,0-14
1062,CK,2000,0.0,Male,0-14
1063,CK,2001,0.0,Male,0-14
1064,CK,2002,0.0,Male,0-14
1065,CK,2003,0.0,Male,0-14
1066,CK,2004,0.0,Male,0-14
1067,CK,2005,0.0,Male,0-14
1068,CK,2006,0.0,Male,0-14
1086,CL,1995,24.0,Male,0-14
1087,CL,1996,8.0,Male,0-14
1088,CL,1997,11.0,Male,0-14
1090,CL,1999,4.0,Male,0-14
1091,CL,2000,6.0,Male,0-14
1092,CL,2001,2.0,Male,0-14
1093,CL,2002,6.0,Male,0-14
1094,CL,2003,1.0,Male,0-14
1095,CL,2004,3.0,Male,0-14
1096,CL,2005,3.0,Male,0-14
1097,CL,2006,12.0,Male,0-14
1098,CL,2007,3.0,Male,0-14
1099,CL,2008,7.0,Male,0-14
1115,CM,1995,20.0,Male,0-14
1116,CM,1996,34.0,Male,0-14
1117,CM,1997,36.0,Male,0-14
1118,CM,1998,15.0,Male,0-14
1119,CM,1999,49.0,Male,0-14
1120,CM,2000,41.0,Male,0-14
1121,CM,2001,24.0,Male,0-14
1122,CM,2002,66.0,Male,0-14
1123,CM,2003,100.0,Male,0-14
1124,CM,2004,127.0,Male,0-14
1125,CM,2005,134.0,Male,0-14
1126,CM,2006,112.0,Male,0-14
1127,CM,2007,121.0,Male,0-14
1128,CM,2008,108.0,Male,0-14
1142,CN,1995,1102.0,Male,0-14
1143,CN,1996,1409.0,Male,0-14
1144,CN,1997,1456.0,Male,0-14
1145,CN,1998,1481.0,Male,0-14
1146,CN,1999,1247.0,Male,0-14
1147,CN,2000,1131.0,Male,0-14
1148,CN,2001,1213.0,Male,0-14
1149,CN,2002,925.0,Male,0-14
1150,CN,2003,1133.0,Male,0-14
1151,CN,2004,1375.0,Male,0-14
1152,CN,2005,1416.0,Male,0-14
1153,CN,2006,1023.0,Male,0-14
1154,CN,2007,878.0,Male,0-14
1155,CN,2008,751.0,Male,0-14
1175,CO,1999,270.0,Male,0-14
1176,CO,2000,246.0,Male,0-14
1177,CO,2001,223.0,Male,0-14
1178,CO,2002,209.0,Male,0-14
1179,CO,2003,237.0,Male,0-14
1180,CO,2004,208.0,Male,0-14
1181,CO,2005,178.0,Male,0-14
1182,CO,2006,219.0,Male,0-14
1183,CO,2007,144.0,Male,0-14
1184,CO,2008,136.0,Male,0-14
1200,CR,1995,1.0,Male,0-14
1201,CR,1996,0.0,Male,0-14
1202,CR,1997,37.0,Male,0-14
1203,CR,1998,30.0,Male,0-14
1204,CR,1999,4.0,Male,0-14
1205,CR,2000,14.0,Male,0-14
1206,CR,2001,2.0,Male,0-14
1207,CR,2002,3.0,Male,0-14
1208,CR,2003,3.0,Male,0-14
1209,CR,2004,1.0,Male,0-14
1210,CR,2005,1.0,Male,0-14
1211,CR,2006,1.0,Male,0-14
1212,CR,2007,4.0,Male,0-14
1213,CR,2008,3.0,Male,0-14
1229,CU,1995,2.0,Male,0-14
1230,CU,1996,0.0,Male,0-14
1231,CU,1997,0.0,Male,0-14
1232,CU,1998,0.0,Male,0-14
1233,CU,1999,1.0,Male,0-14
1234,CU,2000,0.0,Male,0-14
1235,CU,2001,0.0,Male,0-14
1236,CU,2002,0.0,Male,0-14
1237,CU,2003,2.0,Male,0-14
1238,CU,2004,0.0,Male,0-14
1239,CU,2005,2.0,Male,0-14
1242,CU,2008,2.0,Male,0-14
1255,CV,1997,0.0,Male,0-14
1256,CV,1998,2.0,Male,0-14
1258,CV,2001,0.0,Male,0-14
1259,CV,2002,3.0,Male,0-14
1260,CV,2003,3.0,Male,0-14
1261,CV,2004,1.0,Male,0-14
1262,CV,2005,0.0,Male,0-14
1263,CV,2006,2.0,Male,0-14
1264,CV,2007,0.0,Male,0-14
1265,CV,2008,0.0,Male,0-14
1281,CY,1995,0.0,Male,0-14
1282,CY,1996,0.0,Male,0-14
1284,CY,1998,0.0,Male,0-14
1285,CY,1999,5.0,Male,0-14
1288,CY,2002,0.0,Male,0-14
1289,CY,2003,0.0,Male,0-14
1290,CY,2004,0.0,Male,0-14
1291,CY,2005,0.0,Male,0-14
1292,CY,2006,0.0,Male,0-14
1293,CY,2007,0.0,Male,0-14
1294,CY,2008,0.0,Male,0-14
1310,CZ,1995,2.0,Male,0-14
1311,CZ,1996,1.0,Male,0-14
1312,CZ,1997,0.0,Male,0-14
1313,CZ,1998,0.0,Male,0-14
1314,CZ,1999,2.0,Male,0-14
1315,CZ,2000,0.0,Male,0-14
1316,CZ,2001,0.0,Male,0-14
1317,CZ,2002,0.0,Male,0-14
1318,CZ,2003,0.0,Male,0-14
1319,CZ,2004,0.0,Male,0-14
1320,CZ,2005,0.0,Male,0-14
1321,CZ,2006,0.0,Male,0-14
1322,CZ,2007,0.0,Male,0-14
1323,CZ,2008,0.0,Male,0-14
1339,DE,1995,14.0,Male,0-14
1340,DE,1996,20.0,Male,0-14
1341,DE,1997,11.0,Male,0-14
1342,DE,1998,9.0,Male,0-14
1343,DE,1999,13.0,Male,0-14
1345,DE,2001,3.0,Male,0-14
1346,DE,2002,3.0,Male,0-14
1347,DE,2003,2.0,Male,0-14
1348,DE,2004,5.0,Male,0-14
1349,DE,2005,6.0,Male,0-14
1350,DE,2006,2.0,Male,0-14
1351,DE,2007,2.0,Male,0-14
1352,DE,2008,2.0,Male,0-14
1367,DJ,1996,30.0,Male,0-14
1368,DJ,1997,52.0,Male,0-14
1369,DJ,1998,23.0,Male,0-14
1370,DJ,1999,25.0,Male,0-14
1371,DJ,2000,17.0,Male,0-14
1372,DJ,2001,17.0,Male,0-14
1373,DJ,2002,20.0,Male,0-14
1374,DJ,2003,10.0,Male,0-14
1375,DJ,2004,19.0,Male,0-14
1376,DJ,2005,18.0,Male,0-14
1377,DJ,2006,14.0,Male,0-14
1378,DJ,2007,14.0,Male,0-14
1379,DJ,2008,17.0,Male,0-14
1395,DK,1995,0.0,Male,0-14
1396,DK,1996,0.0,Male,0-14
1397,DK,1997,1.0,Male,0-14
1398,DK,1998,0.0,Male,0-14
1399,DK,1999,4.0,Male,0-14
1400,DK,2000,5.0,Male,0-14
1401,DK,2001,1.0,Male,0-14
1402,DK,2002,2.0,Male,0-14
1403,DK,2003,3.0,Male,0-14
1404,DK,2004,1.0,Male,0-14
1405,DK,2005,0.0,Male,0-14
1406,DK,2006,0.0,Male,0-14
1407,DK,2007,0.0,Male,0-14
1408,DK,2008,0.0,Male,0-14
1425,DM,1996,0.0,Male,0-14
1426,DM,1997,0.0,Male,0-14
1427,DM,1998,0.0,Male,0-14
1431,DM,2006,0.0,Male,0-14
1432,DM,2007,0.0,Male,0-14
1433,DM,2008,0.0,Male,0-14
1450,DO,1996,17.0,Male,0-14
1451,DO,1997,76.0,Male,0-14
1452,DO,1998,62.0,Male,0-14
1453,DO,1999,90.0,Male,0-14
1454,DO,2000,73.0,Male,0-14
1456,DO,2002,39.0,Male,0-14
1457,DO,2003,52.0,Male,0-14
1458,DO,2004,45.0,Male,0-14
1459,DO,2005,43.0,Male,0-14
1460,DO,2006,25.0,Male,0-14
1461,DO,2007,23.0,Male,0-14
1462,DO,2008,16.0,Male,0-14
1479,DZ,1997,659.0,Male,0-14
1481,DZ,1999,40.0,Male,0-14
1482,DZ,2000,59.0,Male,0-14
1483,DZ,2001,41.0,Male,0-14
1484,DZ,2002,39.0,Male,0-14
1485,DZ,2003,40.0,Male,0-14
1486,DZ,2004,63.0,Male,0-14
1487,DZ,2005,53.0,Male,0-14
1488,DZ,2006,41.0,Male,0-14
1489,DZ,2007,95.0,Male,0-14
1490,DZ,2008,99.0,Male,0-14
1509,EC,1998,169.0,Male,0-14
1512,EC,2001,39.0,Male,0-14
1514,EC,2003,18.0,Male,0-14
1515,EC,2004,84.0,Male,0-14
1516,EC,2005,48.0,Male,0-14
1517,EC,2006,32.0,Male,0-14
1518,EC,2007,42.0,Male,0-14
1519,EC,2008,32.0,Male,0-14
1536,EE,1996,1.0,Male,0-14
1537,EE,1997,0.0,Male,0-14
1538,EE,1998,0.0,Male,0-14
1539,EE,1999,0.0,Male,0-14
1540,EE,2000,0.0,Male,0-14
1541,EE,2001,0.0,Male,0-14
1542,EE,2002,0.0,Male,0-14
1543,EE,2003,0.0,Male,0-14
1544,EE,2004,0.0,Male,0-14
1545,EE,2005,0.0,Male,0-14
1546,EE,2006,0.0,Male,0-14
1547,EE,2007,0.0,Male,0-14
1548,EE,2008,0.0,Male,0-14
1564,EG,1995,223.0,Male,0-14
1565,EG,1996,58.0,Male,0-14
1566,EG,1997,50.0,Male,0-14
1567,EG,1998,45.0,Male,0-14
1568,EG,1999,31.0,Male,0-14
1569,EG,2000,21.0,Male,0-14
1570,EG,2001,34.0,Male,0-14
1571,EG,2002,39.0,Male,0-14
1572,EG,2003,42.0,Male,0-14
1573,EG,2004,14.0,Male,0-14
1574,EG,2005,25.0,Male,0-14
1575,EG,2006,54.0,Male,0-14
1576,EG,2007,35.0,Male,0-14
1577,EG,2008,13.0,Male,0-14
1584,ER,1997,0.0,Male,0-14
1585,ER,1998,4.0,Male,0-14
1586,ER,1999,3.0,Male,0-14
1587,ER,2000,9.0,Male,0-14
1588,ER,2001,5.0,Male,0-14
1589,ER,2002,16.0,Male,0-14
1590,ER,2003,17.0,Male,0-14
1591,ER,2004,14.0,Male,0-14
1592,ER,2005,9.0,Male,0-14
1593,ER,2006,6.0,Male,0-14
1594,ER,2007,21.0,Male,0-14
1610,ES,1995,22.0,Male,0-14
1613,ES,1998,25.0,Male,0-14
1616,ES,2001,13.0,Male,0-14
1617,ES,2002,22.0,Male,0-14
1618,ES,2003,7.0,Male,0-14
1619,ES,2004,14.0,Male,0-14
1620,ES,2005,13.0,Male,0-14
1621,ES,2006,18.0,Male,0-14
1622,ES,2007,10.0,Male,0-14
1623,ES,2008,18.0,Male,0-14
1639,ET,1995,247.0,Male,0-14
1640,ET,1996,302.0,Male,0-14
1641,ET,1997,579.0,Male,0-14
1642,ET,1998,715.0,Male,0-14
1643,ET,1999,692.0,Male,0-14
1644,ET,2000,915.0,Male,0-14
1645,ET,2001,913.0,Male,0-14
1646,ET,2002,1251.0,Male,0-14
1647,ET,2003,1110.0,Male,0-14
1648,ET,2004,1160.0,Male,0-14
1649,ET,2005,1109.0,Male,0-14
1650,ET,2006,978.0,Male,0-14
1651,ET,2007,1055.0,Male,0-14
1652,ET,2008,978.0,Male,0-14
1668,FI,1995,1.0,Male,0-14
1669,FI,1996,0.0,Male,0-14
1670,FI,1997,0.0,Male,0-14
1671,FI,1998,0.0,Male,0-14
1672,FI,1999,0.0,Male,0-14
1673,FI,2000,0.0,Male,0-14
1674,FI,2001,0.0,Male,0-14
1675,FI,2002,0.0,Male,0-14
1676,FI,2003,0.0,Male,0-14
1677,FI,2004,0.0,Male,0-14
1678,FI,2005,1.0,Male,0-14
1679,FI,2006,0.0,Male,0-14
1680,FI,2007,0.0,Male,0-14
1681,FI,2008,0.0,Male,0-14
1696,FJ,1994,2.0,Male,0-14
1697,FJ,1995,0.0,Male,0-14
1698,FJ,1996,1.0,Male,0-14
1699,FJ,1997,1.0,Male,0-14
1700,FJ,1998,0.0,Male,0-14
